O*NET-SOC Code,Element ID,Element Name,Scale ID,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-1011.00,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,5.69,27,0.1606,5.3557,6.0160,N,N,08/2023,Incumbent
11-1011.00,4.A.3.a.1,Performing General Physical Activities,IM,1.96,29,0.2139,1.5216,2.3980,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.a.1,Performing General Physical Activities,LV,1.90,29,0.4093,1.0604,2.7374,N,N,08/2023,Incumbent
11-1011.00,4.A.3.a.2,Handling and Moving Objects,IM,1.86,29,0.2168,1.4144,2.3026,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.a.2,Handling and Moving Objects,LV,2.08,30,0.4715,1.1107,3.0393,N,N,08/2023,Incumbent
11-1011.00,4.A.3.a.3,Controlling Machines and Processes,IM,2.04,30,0.2664,1.4990,2.5886,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.a.3,Controlling Machines and Processes,LV,1.82,30,0.4025,1.0010,2.6474,N,N,08/2023,Incumbent
11-1011.00,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",IM,2.67,29,0.4147,1.8229,3.5219,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,1.88,30,0.2802,1.3079,2.4541,N,N,08/2023,Incumbent
11-1011.00,4.A.3.b.1,Working with Computers,IM,4.17,30,0.2397,3.6782,4.6589,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.b.1,Working with Computers,LV,3.03,30,0.2388,2.5442,3.5210,N,N,08/2023,Incumbent
11-1011.00,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",IM,1.62,30,0.1532,1.3023,1.9291,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,1.25,30,0.3659,0.5028,1.9997,N,N,08/2023,Incumbent
11-1011.00,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,IM,1.21,30,0.1144,1.0000,1.4471,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,0.27,30,0.1357,0.0000,0.5436,Y,Y,08/2023,Incumbent
11-1011.00,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,IM,1.45,30,0.2044,1.0355,1.8718,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,0.49,30,0.1961,0.0907,0.8931,N,N,08/2023,Incumbent
11-1011.00,4.A.3.b.6,Documenting/Recording Information,IM,3.60,30,0.4357,2.7099,4.4921,N,n/a,08/2023,Incumbent
11-1011.00,4.A.3.b.6,Documenting/Recording Information,LV,3.80,30,0.3430,3.0955,4.4987,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.1,Interpreting the Meaning of Information for Others,IM,4.15,29,0.2535,3.6305,4.6691,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,3.38,30,0.3299,2.7017,4.0513,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",IM,4.75,29,0.1074,4.5309,4.9711,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,5.82,30,0.2797,5.2481,6.3922,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.3,Communicating with People Outside the Organization,IM,4.55,29,0.1545,4.2315,4.8644,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.3,Communicating with People Outside the Organization,LV,5.47,29,0.3826,4.6868,6.2542,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,IM,4.80,30,0.1007,4.5904,5.0000,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,6.54,30,0.1480,6.2407,6.8460,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.5,Assisting and Caring for Others,IM,3.31,29,0.4571,2.3759,4.2486,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.5,Assisting and Caring for Others,LV,3.10,30,0.5378,2.0003,4.2001,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.6,Selling or Influencing Others,IM,3.81,30,0.2638,3.2731,4.3520,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.6,Selling or Influencing Others,LV,4.91,30,0.6182,3.6476,6.1764,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,IM,4.47,30,0.1643,4.1338,4.8060,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,5.74,30,0.3077,5.1156,6.3743,N,N,08/2023,Incumbent
11-1011.00,4.A.4.a.8,Performing for or Working Directly with the Public,IM,3.90,30,0.2362,3.4185,4.3847,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.a.8,Performing for or Working Directly with the Public,LV,4.40,29,0.4529,3.4728,5.3283,N,N,08/2023,Incumbent
11-1011.00,4.A.4.b.1,Coordinating the Work and Activities of Others,IM,4.10,30,0.2285,3.6291,4.5639,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,5.60,28,0.2049,5.1761,6.0168,N,N,08/2023,Incumbent
11-1011.00,4.A.4.b.2,Developing and Building Teams,IM,4.63,30,0.1404,4.3457,4.9200,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.b.2,Developing and Building Teams,LV,5.38,30,0.2452,4.8797,5.8826,N,N,08/2023,Incumbent
11-1011.00,4.A.4.b.3,Training and Teaching Others,IM,4.01,30,0.2587,3.4806,4.5388,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.b.3,Training and Teaching Others,LV,4.76,30,0.2743,4.1978,5.3200,N,N,08/2023,Incumbent
11-1011.00,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",IM,4.74,30,0.1116,4.5119,4.9683,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,6.07,29,0.2540,5.5529,6.5936,N,N,08/2023,Incumbent
11-1011.00,4.A.4.b.5,Coaching and Developing Others,IM,4.71,29,0.1175,4.4668,4.9482,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.b.5,Coaching and Developing Others,LV,5.85,29,0.2822,5.2737,6.4298,N,N,08/2023,Incumbent
11-1011.00,4.A.4.b.6,Providing Consultation and Advice to Others,IM,3.95,30,0.4770,2.9715,4.9225,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.b.6,Providing Consultation and Advice to Others,LV,5.42,29,0.8460,3.6843,7.0000,N,N,08/2023,Incumbent
11-1011.00,4.A.4.c.1,Performing Administrative Activities,IM,4.02,30,0.2283,3.5532,4.4870,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.c.1,Performing Administrative Activities,LV,4.65,29,0.3521,3.9269,5.3696,N,N,08/2023,Incumbent
11-1011.00,4.A.4.c.2,Staffing Organizational Units,IM,3.78,29,0.4591,2.8359,4.7168,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.c.2,Staffing Organizational Units,LV,4.80,30,0.7415,3.2788,6.3117,N,N,08/2023,Incumbent
11-1011.00,4.A.4.c.3,Monitoring and Controlling Resources,IM,4.11,30,0.1845,3.7282,4.4829,N,n/a,08/2023,Incumbent
11-1011.00,4.A.4.c.3,Monitoring and Controlling Resources,LV,4.75,30,0.3444,4.0483,5.4568,N,N,08/2023,Incumbent
11-1011.03,4.A.1.a.1,Getting Information,IM,4.78,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.1.a.1,Getting Information,LV,5.37,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",IM,3.48,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,4.07,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.1.b.1,"Identifying Objects, Actions, and Events",IM,3.85,26,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,4.54,26,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",IM,2.11,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,2.37,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",IM,3.54,26,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,4.35,26,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",IM,3.85,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,4.38,26,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.a.2,Processing Information,IM,3.96,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.a.2,Processing Information,LV,4.78,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,IM,3.67,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,4.37,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.a.4,Analyzing Data or Information,IM,4.22,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.a.4,Analyzing Data or Information,LV,4.81,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.b.1,Making Decisions and Solving Problems,IM,4.63,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.b.1,Making Decisions and Solving Problems,LV,5.59,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.b.2,Thinking Creatively,IM,4.33,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.b.2,Thinking Creatively,LV,4.85,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.b.3,Updating and Using Relevant Knowledge,IM,4.30,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,5.59,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.b.4,Developing Objectives and Strategies,IM,4.50,26,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.b.4,Developing Objectives and Strategies,LV,5.56,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.b.5,Scheduling Work and Activities,IM,3.63,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.b.5,Scheduling Work and Activities,LV,4.93,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",IM,4.37,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,6.07,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.a.1,Performing General Physical Activities,IM,1.81,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.a.1,Performing General Physical Activities,LV,1.67,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.a.2,Handling and Moving Objects,IM,1.44,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.a.2,Handling and Moving Objects,LV,1.30,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.a.3,Controlling Machines and Processes,IM,1.56,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.a.3,Controlling Machines and Processes,LV,1.00,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",IM,1.70,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,1.11,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.b.1,Working with Computers,IM,4.15,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.b.1,Working with Computers,LV,3.22,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",IM,2.00,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,2.11,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,IM,1.41,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,0.78,27,n/a,n/a,n/a,n/a,Y,08/2021,Occupational Expert
11-1011.03,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,IM,1.48,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,0.93,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.3.b.6,Documenting/Recording Information,IM,3.44,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.3.b.6,Documenting/Recording Information,LV,3.41,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.1,Interpreting the Meaning of Information for Others,IM,4.44,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,5.00,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",IM,4.81,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,5.93,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.3,Communicating with People Outside the Organization,IM,4.48,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.3,Communicating with People Outside the Organization,LV,6.11,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,IM,4.67,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,6.30,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.5,Assisting and Caring for Others,IM,2.74,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.5,Assisting and Caring for Others,LV,2.67,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.6,Selling or Influencing Others,IM,4.11,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.6,Selling or Influencing Others,LV,5.07,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,IM,3.44,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,4.70,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.a.8,Performing for or Working Directly with the Public,IM,3.56,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.a.8,Performing for or Working Directly with the Public,LV,4.41,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.b.1,Coordinating the Work and Activities of Others,IM,4.07,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,5.04,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.b.2,Developing and Building Teams,IM,4.19,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.b.2,Developing and Building Teams,LV,4.81,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.b.3,Training and Teaching Others,IM,3.63,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.b.3,Training and Teaching Others,LV,4.22,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",IM,3.78,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,4.93,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.b.5,Coaching and Developing Others,IM,3.93,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.b.5,Coaching and Developing Others,LV,4.78,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.b.6,Providing Consultation and Advice to Others,IM,3.93,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.b.6,Providing Consultation and Advice to Others,LV,5.30,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.c.1,Performing Administrative Activities,IM,3.30,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.c.1,Performing Administrative Activities,LV,3.89,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.c.2,Staffing Organizational Units,IM,3.26,27,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.c.2,Staffing Organizational Units,LV,4.26,27,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1011.03,4.A.4.c.3,Monitoring and Controlling Resources,IM,3.88,26,n/a,n/a,n/a,n/a,n/a,08/2021,Occupational Expert
11-1011.03,4.A.4.c.3,Monitoring and Controlling Resources,LV,4.81,26,n/a,n/a,n/a,n/a,N,08/2021,Occupational Expert
11-1021.00,4.A.1.a.1,Getting Information,IM,4.42,32,0.1606,4.0895,4.7446,N,n/a,08/2023,Incumbent
11-1021.00,4.A.1.a.1,Getting Information,LV,4.07,32,0.3743,3.3015,4.8285,N,N,08/2023,Incumbent
11-1021.00,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",IM,3.91,32,0.2053,3.4909,4.3282,N,n/a,08/2023,Incumbent
11-1021.00,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,3.83,31,0.4200,2.9682,4.6836,N,N,08/2023,Incumbent
11-1021.00,4.A.1.b.1,"Identifying Objects, Actions, and Events",IM,4.22,32,0.1594,3.8905,4.5408,N,n/a,08/2023,Incumbent
11-1021.00,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,3.56,32,0.3752,2.7943,4.3247,N,N,08/2023,Incumbent
11-1021.00,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",IM,2.62,32,0.3126,1.9817,3.2567,N,n/a,08/2023,Incumbent
11-1021.00,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,2.31,32,0.5076,1.2722,3.3429,N,N,08/2023,Incumbent
11-1021.00,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",IM,3.23,32,0.2252,2.7755,3.6940,N,n/a,08/2023,Incumbent
11-1021.00,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,2.95,32,0.2819,2.3730,3.5230,N,N,08/2023,Incumbent
11-1021.00,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",IM,4.10,31,0.1698,3.7491,4.4426,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,3.88,32,0.3885,3.0855,4.6700,N,N,08/2023,Incumbent
11-1021.00,4.A.2.a.2,Processing Information,IM,4.08,32,0.1862,3.7009,4.4604,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.a.2,Processing Information,LV,4.13,32,0.3827,3.3490,4.9101,N,N,08/2023,Incumbent
11-1021.00,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,IM,3.59,31,0.2799,3.0229,4.1661,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,3.49,32,0.5073,2.4594,4.5285,N,N,08/2023,Incumbent
11-1021.00,4.A.2.a.4,Analyzing Data or Information,IM,4.04,32,0.1905,3.6481,4.4250,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.a.4,Analyzing Data or Information,LV,4.27,31,0.4513,3.3508,5.1941,N,N,08/2023,Incumbent
11-1021.00,4.A.2.b.1,Making Decisions and Solving Problems,IM,4.33,32,0.1482,4.0316,4.6361,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.b.1,Making Decisions and Solving Problems,LV,4.88,32,0.5837,3.6916,6.0724,N,N,08/2023,Incumbent
11-1021.00,4.A.2.b.2,Thinking Creatively,IM,3.70,32,0.2364,3.2189,4.1831,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.b.2,Thinking Creatively,LV,3.95,31,0.4725,2.9872,4.9173,N,N,08/2023,Incumbent
11-1021.00,4.A.2.b.3,Updating and Using Relevant Knowledge,IM,3.80,32,0.2847,3.2182,4.3796,N,n/a,08/2023,Incumbent
11-1021.00,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,4.17,32,0.6787,2.7847,5.5532,N,N,08/2023,Incumbent
11-1021.00,4.A.2.b.4,Developing Objectives and Strategies,IM,3.84,32,0.1522,3.5340,4.1549,N,n/a,08/2023,Incumbent
